id,session,valid,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1,1,1,winter,winter,snow,snow,0.47158,0.44921,0.5333,0.43423999999999996,0.46906000000000003,0.47148,-0.15923
2,2,1,winter,winter,snow,snow,0.47158,0.44921,0.5333,0.43423999999999996,0.46906000000000003,0.47148,-0.15923
3,1,1,blizzard,blizzard,snow,snow,0.47841999999999996,0.48905,0.57333,0.27305,0.5218700000000001,0.46714,-0.13781
1,1,1,flame,flame,candle,candle,0.45741,0.5236799999999999,0.54732,0.49975,0.5019199999999999,0.50602,-0.12455
2,2,1,fragrance,fragrance,candle,candle,0.69676,0.85495,0.7273000000000001,1.03766,0.76837,0.81701,0.15315
3,1,1,flame,flame,candle,candle,0.45741,0.5236799999999999,0.54732,0.49975,0.5019199999999999,0.50602,-0.12455
1,1,1,furniture,furniture,table,table,0.6373599999999999,0.75871,0.8112900000000001,0.75396,0.70038,0.73234,0.07579
2,2,1,chair,chair,table,table,0.5258499999999999,0.60076,0.8186599999999999,0.44143,0.56395,0.59013,-0.05794
3,1,1,chair,chair,table,table,0.5258499999999999,0.60076,0.8186599999999999,0.44143,0.56395,0.59013,-0.05794
1,1,1,writing,writing,paper,paper,0.58758,0.66547,0.83849,0.88098,0.60175,0.71485,0.01525
2,2,1,pen,pen,paper,paper,0.55522,0.5713699999999999,0.7069799999999999,0.82436,0.64308,0.6602,-0.02003
3,1,1,pen,pen,paper,paper,0.55522,0.5713699999999999,0.7069799999999999,0.82436,0.64308,0.6602,-0.02003
1,1,1,forest,forest,bear,bear,0.76283,0.78207,1.00892,0.88695,0.76257,0.84067,0.1465
2,2,1,wildlife,wildlife,bear,bear,0.82362,0.79828,0.92888,0.98395,0.71559,0.85006,0.15463
3,1,1,wildlife,wildlife,bear,bear,0.82362,0.79828,0.92888,0.98395,0.71559,0.85006,0.15463
1,1,1,bread,bread,toaster,toaster,0.66462,0.6539699999999999,0.68796,0.8203400000000001,0.69906,0.70519,0.04644
2,2,1,kitchen,kitchen,toaster,toaster,0.6342,0.70057,0.67408,0.88097,0.7376,0.72548,0.06848
3,1,1,bread,bread,toaster,toaster,0.66462,0.6539699999999999,0.68796,0.8203400000000001,0.69906,0.70519,0.04644
